ITGA5,qPCR,EMT,Integrin subunit alpha 5,Chr12:54395261-54419266,"GO:0035313 wound healing, spreading of epidermal cells
GO:1903672 positive regulation of sprouting angiogenesis
GO:0030949 positive regulation of vascular endothelial growth factor receptor signaling pathway","(M5932)HALLMARK INFLAMMATORY RESPONSE
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
ITGB1,qPCR,EMT,Integrin subunit beta 1,Chr10:32900318-32935558,"GO:0021943 formation of radial glial scaffolds
GO:0007161 calcium-independent cell-matrix adhesion
GO:0021932 hindbrain radial glia guided cell migration","(M5915)HALLMARK APICAL JUNCTION
 (M5909)HALLMARK MYOGENESIS
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
JAG1,qPCR,EMT,Jagged canonical Notch ligand 1,Chr20:10637684-10673999,"GO:0072015 glomerular visceral epithelial cell development
GO:0061444 endocardial cushion cell development
GO:0072310 glomerular epithelial cell development","(M5903)HALLMARK NOTCH SIGNALING
 (M5944)HALLMARK ANGIOGENESIS
 (M5895)HALLMARK WNT BETA CATENIN SIGNALING",,,,,,
MMP2,qPCR,EMT,Matrix metallopeptidase 2,Chr16:55480533-55506691,"GO:0001955 blood vessel maturation
GO:0001957 intramembranous ossification
GO:0060346 bone trabecula formation","(M5946)HALLMARK COAGULATION
 (M5902)HALLMARK APOPTOSIS
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
MMP3,qPCR,EMT,Matrix metallopeptidase 3,Chr11:102835801-102843609,"GO:0010727 negative regulation of hydrogen peroxide metabolic process
GO:1903209 positive regulation of oxidative stress-induced cell death
GO:0071732 cellular response to nitric oxide","(M5946)HALLMARK COAGULATION
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
MMP9,qPCR,EMT,Matrix metallopeptidase 9,Chr20:46008908-46016561,"GO:2000697 negative regulation of epithelial cell differentiation involved in kidney development
GO:2001268 negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway
GO:0051549 positive regulation of keratinocyte migration","(M5946)HALLMARK COAGULATION
 (M5953)HALLMARK KRAS SIGNALING UP
 (M5915)HALLMARK APICAL JUNCTION",,,,,,
MST1R,qPCR,EMT,Macrophage stimulating 1 receptor,Chr3:49887003-49903873,"GO:0038145 macrophage colony-stimulating factor signaling pathway
GO:0036006 cellular response to macrophage colony-stimulating factor stimulus
GO:0048012 hepatocyte growth factor receptor signaling pathway",NA,,,,,,
NOTCH1,qPCR,EMT,Notch receptor 1,Chr9:136494433-136546048,"GO:0003270 Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation
GO:0072144 glomerular mesangial cell development
GO:1903849 positive regulation of aorta morphogenesis","(M5903)HALLMARK NOTCH SIGNALING
 (M5895)HALLMARK WNT BETA CATENIN SIGNALING
 (M5909)HALLMARK MYOGENESIS",,,,,,
PTK2,qPCR,EMT,Protein tyrosine kinase 2,Chr8:140657900-141001282,"GO:0060396 growth hormone receptor signaling pathway
GO:0010613 positive regulation of cardiac muscle hypertrophy
GO:0038096 Fc-gamma receptor signaling pathway involved in phagocytosis","(M5944)HALLMARK ANGIOGENESIS
 (M5902)HALLMARK APOPTOSIS
 (M5915)HALLMARK APICAL JUNCTION",,,,,,
SMAD2,qPCR,EMT,SMAD family member 2,Chr18:47808957-47930659,"GO:1900224 positive regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry
GO:1900175 regulation of nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry
GO:1900145 regulation of nodal signaling pathway involved in determination of left/right asymmetry",(M5923)HALLMARK PI3K AKT MTOR SIGNALING,,,,,,
STAT3,qPCR,EMT,Signal transducer and activator of transcription 3,Chr17:42313325-42388495,"GO:0072540 T-helper 17 cell lineage commitment
GO:1902728 positive regulation of growth factor dependent skeletal muscle satellite cell proliferation
GO:0002295 T-helper cell lineage commitment","(M5897)HALLMARK IL6 JAK STAT3 SIGNALING
 (M5913)HALLMARK INTERFERON GAMMA RESPONSE",,,,,,
STEAP1,qPCR,EMT,STEAP family member 1,Chr7:90154469-90164827,"GO:0055072 iron ion homeostasis
GO:0055076 transition metal ion homeostasis
GO:0055065 metal ion homeostasis",NA,,,,,,
TGFB1,qPCR,EMT,Transforming growth factor beta 1,Chr19:41330323-41353922,"GO:0048298 positive regulation of isotype switching to IgA isotypes
GO:0090190 positive regulation of branching involved in ureteric bud morphogenesis
GO:0048296 regulation of isotype switching to IgA isotypes","(M5896)HALLMARK TGF BETA SIGNALING
 (M5897)HALLMARK IL6 JAK STAT3 SIGNALING
 (M5901)HALLMARK G2M CHECKPOINT",,,,,,
TMEM132A,qPCR,EMT,Transmembrane protein 132A,Chr11:60924460-60937159,"GO:0043687 post-translational protein modification
GO:0006464 cellular protein modification process
GO:0036211 protein modification process",NA,,,,,,
TWIST1,qPCR,EMT,Twist family bHLH transcription factor 1,Chr7:19115468-19117636,"GO:2000802 positive regulation of endocardial cushion to mesenchymal transition involved in heart valve formation
GO:0140051 positive regulation of endocardial cushion to mesenchymal transition
GO:2000800 regulation of endocardial cushion to mesenchymal transition involved in heart valve formation",NA,,,,,,
VCAN,qPCR,EMT,Versican,Chr5:83471744-83582302,"GO:0030208 dermatan sulfate biosynthetic process
GO:0030207 chondroitin sulfate catabolic process
GO:0030205 dermatan sulfate metabolic process","(M5944)HALLMARK ANGIOGENESIS
 (M5937)HALLMARK GLYCOLYSIS
 (M5915)HALLMARK APICAL JUNCTION",,,,,,
VIM,qPCR,EMT,Vimentin,Chr10:17228241-17237593,"GO:0070307 lens fiber cell development
GO:0060020 Bergmann glial cell differentiation
GO:0071225 cellular response to muramyl dipeptide",(M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,,,,,,
WNT11,qPCR,EMT,Wnt family member 11,Chr11:76186325-76206502,"GO:0060775 planar cell polarity pathway involved in gastrula mediolateral intercalation
GO:0032915 positive regulation of transforming growth factor beta2 production
GO:0060197 cloacal septation",NA,,,,,,
WNT5A,qPCR,EMT,Wnt family member 5A,Chr3:55465715-55481398,"GO:1904955 planar cell polarity pathway involved in midbrain dopaminergic neuron differentiation
GO:0003408 optic cup formation involved in camera-type eye development
GO:0051885 positive regulation of timing of anagen","(M5903)HALLMARK NOTCH SIGNALING
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
ACKR3,Microarray,EMT/stromal,Atypical chemokine receptor 3,Chr2:236569825-236582351,"GO:1905322 positive regulation of mesenchymal stem cell migration
GO:1905320 regulation of mesenchymal stem cell migration
GO:1905319 mesenchymal stem cell migration","(M5890)HALLMARK TNFA SIGNALING VIA NFKB
 (M5891)HALLMARK HYPOXIA",,,,,Cheng et al.2014,
ADAM9,Microarray,EMT/stromal,ADAM metallopeptidase domain 9,Chr8:38996986-39105260,"GO:0034241 positive regulation of macrophage fusion
GO:0051549 positive regulation of keratinocyte migration
GO:0034239 regulation of macrophage fusion","(M5946)HALLMARK COAGULATION
 (M5921)HALLMARK COMPLEMENT
 (M5915)HALLMARK APICAL JUNCTION",,,,,,
AEBP1,Microarray,EMT/stromal,AE binding protein 1,Chr7:44104345-44114560,"GO:1904026 regulation of collagen fibril organization
GO:1903053 regulation of extracellular matrix organization
GO:0030199 collagen fibril organization",(M5909)HALLMARK MYOGENESIS,,,,,,
ANGPTL2,Microarray,EMT/stromal,Angiopoietin like 2,Chr9:127087348-127122635,"GO:0007275 multicellular organism development
GO:0048856 anatomical structure development
GO:0032502 developmental process",NA,,,,,,
ASAP1-IT1,Microarray,EMT/stromal,ASAP1 intronic transcript 1,Chr8:130295355-130296533,NA,NA,,,,,,
ATP2B1,Microarray,EMT/stromal,ATPase plasma membrane Ca2+ transporting 1,Chr12:89588049-89708838,"GO:0003056 regulation of vascular smooth muscle contraction
GO:0071386 cellular response to corticosterone stimulus
GO:1990034 calcium ion export across plasma membrane","(M5942)HALLMARK UV RESPONSE DN
 (M5890)HALLMARK TNFA SIGNALING VIA NFKB
 (M5932)HALLMARK INFLAMMATORY RESPONSE",,,,,,
CALM1,Microarray,EMT/stromal,Calmodulin 1,Chr14:90396502-90408275,"GO:0010881 regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion
GO:0060316 positive regulation of ryanodine-sensitive calcium-release channel activity
GO:0060315 negative regulation of ryanodine-sensitive calcium-release channel activity",(M5921)HALLMARK COMPLEMENT,,,,,,
CDKN1A,Microarray,EMT/stromal,Cyclin dependent kinase inhibitor 1A,Chr6:36676490-36687339,"GO:0006977 DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest
GO:1905179 negative regulation of cardiac muscle tissue regeneration
GO:0060574 intestinal epithelial cell maturation","(M5923)HALLMARK PI3K AKT MTOR SIGNALING
 (M5902)HALLMARK APOPTOSIS
 (M5909)HALLMARK MYOGENESIS",,,,,,
CLEC11A,Microarray,EMT/stromal,C-type lectin domain containing 11A,Chr19:50723364-50725708,"GO:0001503 ossification
GO:0008284 positive regulation of cell proliferation
GO:0042127 regulation of cell proliferation",NA,,,,,,
COL1A1,Microarray,EMT/stromal,Collagen type I alpha 1 chain,Chr17:50184096-50201639,"GO:0071306 cellular response to vitamin E
GO:1902618 cellular response to fluoride
GO:0033197 response to vitamin E","(M5942)HALLMARK UV RESPONSE DN
 (M5909)HALLMARK MYOGENESIS
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
COL1A2,Microarray,EMT/stromal,Collagen type I alpha 2 chain,Chr7:94394561-94431232,"GO:0070208 protein heterotrimerization
GO:0043589 skin morphogenesis
GO:0085029 extracellular matrix assembly","(M5942)HALLMARK UV RESPONSE DN
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
COL3A1,Microarray,EMT/stromal,Collagen type III alpha 1 chain,Chr2:188974373-189012746,"GO:0060414 aorta smooth muscle tissue morphogenesis
GO:2001223 negative regulation of neuron migration
GO:0035909 aorta morphogenesis","(M5944)HALLMARK ANGIOGENESIS
 (M5942)HALLMARK UV RESPONSE DN
 (M5909)HALLMARK MYOGENESIS",,,,,,
COL5A1,Microarray,EMT/stromal,Collagen type V alpha 1 chain,Chr9:134641805-134844842,"GO:1903225 negative regulation of endodermal cell differentiation
GO:0035313 wound healing, spreading of epidermal cells
GO:1903224 regulation of endodermal cell differentiation","(M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
 (M5891)HALLMARK HYPOXIA
 (M5937)HALLMARK GLYCOLYSIS",,,,,,
COL6A3,Microarray,EMT/stromal,Collagen type VI alpha 3 chain,Chr2:237324012-237414207,"GO:0003429 growth plate cartilage chondrocyte morphogenesis
GO:0003414 chondrocyte morphogenesis involved in endochondral bone morphogenesis
GO:0003422 growth plate cartilage morphogenesis","(M5909)HALLMARK MYOGENESIS
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
DYRK2,Microarray,EMT/stromal,Dual specificity tyrosine phosphorylation regulated kinase 2,Chr12:67648745-67665406,"GO:0045725 positive regulation of glycogen biosynthetic process
GO:0070885 negative regulation of calcineurin-NFAT signaling cascade
GO:0070875 positive regulation of glycogen metabolic process",(M5921)HALLMARK COMPLEMENT,,,,,,
EMILIN1,Microarray,EMT/stromal,Elastin microfibril interfacer 1,Chr2:27078615-27086397,"GO:1904027 negative regulation of collagen fibril organization
GO:1905522 negative regulation of macrophage migration
GO:1901203 positive regulation of extracellular matrix assembly",NA,,,,,,
GNS,Microarray,EMT/stromal,Glucosamine (N-acetyl)-6-sulfatase,Chr12:64713449-64759406,"GO:0042340 keratan sulfate catabolic process
GO:0042339 keratan sulfate metabolic process
GO:0043312 neutrophil degranulation",NA,,,,,,
HSPG2,Microarray,EMT/stromal,Heparan sulfate proteoglycan 2,Chr1:21822244-21937310,"GO:0016525 negative regulation of angiogenesis
GO:0001523 retinoid metabolic process
GO:0006027 glycosaminoglycan catabolic process",NA,,,,,,
HTRA1,Microarray,EMT/stromal,HtrA serine peptidase 1,Chr10:122461553-122514907,"GO:0097187 dentinogenesis
GO:0060718 chorionic trophoblast cell differentiation
GO:0050687 negative regulation of defense response to virus","(M5946)HALLMARK COAGULATION
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
IL13RA1,Microarray,EMT/stromal,Interleukin 13 receptor subunit alpha 1,ChrX:118727606-118794533,"GO:0035772 interleukin-13-mediated signaling pathway
GO:0035963 cellular response to interleukin-13
GO:0035962 response to interleukin-13","(M5897)HALLMARK IL6 JAK STAT3 SIGNALING
 (M5937)HALLMARK GLYCOLYSIS",,,,,,
ITGA5,Microarray,EMT/stromal,Integrin subunit alpha 5,Chr12:54395261-54419266,"GO:0035313 wound healing, spreading of epidermal cells
GO:1903672 positive regulation of sprouting angiogenesis
GO:0030949 positive regulation of vascular endothelial growth factor receptor signaling pathway","(M5932)HALLMARK INFLAMMATORY RESPONSE
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
JAG1,Microarray,EMT/stromal,Jagged canonical Notch ligand 1,Chr20:10637684-10673999,"GO:0072015 glomerular visceral epithelial cell development
GO:0061444 endocardial cushion cell development
GO:0072310 glomerular epithelial cell development","(M5903)HALLMARK NOTCH SIGNALING
 (M5944)HALLMARK ANGIOGENESIS
 (M5895)HALLMARK WNT BETA CATENIN SIGNALING",,,,,,
LAMA4,Microarray,EMT/stromal,Laminin subunit alpha 4,Chr6:112107931-112254567,"GO:0120163 negative regulation of cold-induced thermogenesis
GO:0120161 regulation of cold-induced thermogenesis
GO:0106106 cold-induced thermogenesis",(M5905)HALLMARK ADIPOGENESIS,,,,,,
LAMB1,Microarray,EMT/stromal,Laminin subunit beta 1,Chr7:107923799-108003161,"GO:0021812 neuronal-glial interaction involved in cerebral cortex radial glia guided migration
GO:0021801 cerebral cortex radial glia guided migration
GO:0021799 cerebral cortex radially oriented cell migration",NA,,,,,,
LIMS1,Microarray,EMT/stromal,LIM zinc finger domain containing 1,Chr2:108534355-108687246,"GO:0051894 positive regulation of focal adhesion assembly
GO:2001046 positive regulation of integrin-mediated signaling pathway
GO:0051893 regulation of focal adhesion assembly",NA,,,,,,
LINC00312,Microarray,EMT/stromal,Long intergenic non-protein coding RNA 312,Chr3:8571782-8574668,NA,NA,,,,,,
LRRC32,Microarray,EMT/stromal,Leucine rich repeat containing 32,Chr11:76657524-76670747,"GO:1901398 regulation of transforming growth factor beta3 activation
GO:0036366 transforming growth factor beta3 activation
GO:0046007 negative regulation of activated T cell proliferation",NA,,,,,,
MAFB,Microarray,EMT/stromal,MAF bZIP transcription factor B,Chr20:40685848-40689236,"GO:0021599 abducens nerve formation
GO:0021598 abducens nerve morphogenesis
GO:0021572 rhombomere 6 development","(M5957)HALLMARK PANCREAS BETA CELLS
 (M5953)HALLMARK KRAS SIGNALING UP",,,,,,
MRC2,Microarray,EMT/stromal,Mannose receptor C type 2,Chr17:62627670-62693597,"GO:0030574 collagen catabolic process
GO:0032963 collagen metabolic process
GO:0001649 osteoblast differentiation",NA,,,,,,
MRPL52,Microarray,EMT/stromal,Mitochondrial ribosomal protein L52,Chr14:22829887-22835037,"GO:0070126 mitochondrial translational termination
GO:0070125 mitochondrial translational elongation
GO:0006415 translational termination",NA,,,,,,
NID2,Microarray,EMT/stromal,Nidogen 2,Chr14:52004809-52069059,"GO:0071711 basement membrane organization
GO:0007160 cell-matrix adhesion
GO:0031589 cell-substrate adhesion",(M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,,,,,,
NNMT,Microarray,EMT/stromal,Nicotinamide N-methyltransferase,Chr11:114295813-114312516,"GO:0034356 NAD biosynthesis via nicotinamide riboside salvage pathway
GO:0009435 NAD biosynthetic process
GO:0019674 NAD metabolic process",(M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,,,,,,
PDE8A,Microarray,EMT/stromal,Phosphodiesterase 8A,Chr15:84981856-85139141,"GO:0006198 cAMP catabolic process
GO:1903206 negative regulation of hydrogen peroxide-induced cell death
GO:0009214 cyclic nucleotide catabolic process",NA,,,,,,
PHTF2,Microarray,EMT/stromal,Putative homeodomain transcription factor 2,Chr7:77798773-77957504,NA,(M5947)HALLMARK IL2 STAT5 SIGNALING,,,,,,
PKD2,Microarray,EMT/stromal,"Polycystin 2, transient receptor potential cation channel",Chr4:88007635-88077777,"GO:0031587 positive regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity
GO:0060315 negative regulation of ryanodine-sensitive calcium-release channel activity
GO:0031585 regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity",(M5893)HALLMARK MITOTIC SPINDLE,,,,,,
PLIN3,Microarray,EMT/stromal,Perilipin 3,Chr19:4838341-4867667,"GO:0016192 vesicle-mediated transport
GO:0006810 transport
GO:0051234 establishment of localization",NA,,,,,,
PLXDC1,Microarray,EMT/stromal,Plexin domain containing 1,Chr17:39063313-39151637,"GO:0021510 spinal cord development
GO:0001525 angiogenesis
GO:0048514 blood vessel morphogenesis",NA,,,,,,
POSTN,Microarray,EMT/stromal,Periostin,Chr13:37562582-37598844,"GO:1904209 positive regulation of chemokine (C-C motif) ligand 2 secretion
GO:1904207 regulation of chemokine (C-C motif) ligand 2 secretion
GO:0071307 cellular response to vitamin K","(M5944)HALLMARK ANGIOGENESIS
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
RABGGTA,Microarray,EMT/stromal,Rab geranylgeranyltransferase subunit alpha,Chr14_KZ208920v1_fix:566516-572605,"GO:0018344 protein geranylgeranylation
GO:0018342 protein prenylation
GO:0097354 prenylation",NA,,,,,,
RIPOR1,Microarray,EMT/stromal,RHO family interacting cell polarization regulator 1,Chr16:67537462-67546786,"GO:0051683 establishment of Golgi localization
GO:0051645 Golgi localization
GO:0034067 protein localization to Golgi apparatus",NA,,,,,,
SEC23A,Microarray,EMT/stromal,"Sec23 homolog A, coat complex II component",Chr14:39031919-39103235,"GO:0048208 COPII vesicle coating
GO:0090110 cargo loading into COPII-coated vesicle
GO:0048207 vesicle targeting, rough ER to cis-Golgi",NA,,,,,,
SEMA5A,Microarray,EMT/stromal,Semaphorin 5A,Chr5:9035033-9546075,"GO:0048842 positive regulation of axon extension involved in axon guidance
GO:0048843 negative regulation of axon extension involved in axon guidance
GO:1902669 positive regulation of axon guidance",NA,,,,,,
SHOX2,Microarray,EMT/stromal,Short stature homeobox 2,Chr3:158096011-158106163,"GO:0048743 positive regulation of skeletal muscle fiber development
GO:0048742 regulation of skeletal muscle fiber development
GO:0060272 embryonic skeletal joint morphogenesis","(M5941)HALLMARK UV RESPONSE UP
 (M5956)HALLMARK KRAS SIGNALING DN",,,,,,
SKAP2,Microarray,EMT/stromal,Src kinase associated phosphoprotein 2,Chr7:26667062-26857723,"GO:0042113 B cell activation
GO:0046649 lymphocyte activation
GO:0008285 negative regulation of cell proliferation","(M5924)HALLMARK MTORC1 SIGNALING
 (M5915)HALLMARK APICAL JUNCTION",,,,,,
SNAI2,Microarray,EMT/stromal,Snail family transcriptional repressor 2,Chr8:48917598-48921429,"GO:0070563 negative regulation of vitamin D receptor signaling pathway
GO:0070562 regulation of vitamin D receptor signaling pathway
GO:0010957 negative regulation of vitamin D biosynthetic process","(M5942)HALLMARK UV RESPONSE DN
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
TGFB1I1,Microarray,EMT/stromal,Transforming growth factor beta 1 induced transcript 1,Chr16:31472208-31477960,"GO:0030579 ubiquitin-dependent SMAD protein catabolic process
GO:0030511 positive regulation of transforming growth factor beta receptor signaling pathway
GO:0030521 androgen receptor signaling pathway",NA,,,,,,
