ID,Entrez GeneID,uniGene,symbol,name,hg19 knownGene ID
eg:100033446:chr15:p,100033446,,SNORD115-9,"small nucleolar RNA, C/D box 115-9",
eg:100033447:chr15:p,100033447,,SNORD115-10,"small nucleolar RNA, C/D box 115-10",
eg:100033448:chr15:p,100033448,,SNORD115-11,"small nucleolar RNA, C/D box 115-11",
eg:100033450:chr15:p,100033450,,SNORD115-13,"small nucleolar RNA, C/D box 115-13",
eg:100033451:chr15:p,100033451,,SNORD115-14,"small nucleolar RNA, C/D box 115-14",
eg:100033454:chr15:p,100033454,,SNORD115-16,"small nucleolar RNA, C/D box 115-16",
eg:100033455:chr15:p,100033455,,SNORD115-17,"small nucleolar RNA, C/D box 115-17",
eg:100033460:chr15:p,100033460,,SNORD115-20,"small nucleolar RNA, C/D box 115-20",
eg:100033799:chr15:p,100033799,,SNORD115-22,"small nucleolar RNA, C/D box 115-22",
eg:100033801:chr15:p,100033801,,SNORD115-25,"small nucleolar RNA, C/D box 115-25",
eg:100033802:chr15:p,100033802,,SNORD115-26,"small nucleolar RNA, C/D box 115-26",
eg:100033804:chr15:p,100033804,,SNORD115-30,"small nucleolar RNA, C/D box 115-30",
eg:100033805:chr15:p,100033805,,SNORD115-31,"small nucleolar RNA, C/D box 115-31",
eg:100033806:chr15:p,100033806,,SNORD115-32,"small nucleolar RNA, C/D box 115-32",
eg:100033807:chr15:p,100033807,,SNORD115-33,"small nucleolar RNA, C/D box 115-33",
eg:100033809:chr15:p,100033809,,SNORD115-35,"small nucleolar RNA, C/D box 115-35",
eg:100033811:chr15:p,100033811,,SNORD115-37,"small nucleolar RNA, C/D box 115-37",
eg:100033812:chr15:p,100033812,,SNORD115-38,"small nucleolar RNA, C/D box 115-38",
eg:100033813:chr15:p,100033813,,SNORD115-39,"small nucleolar RNA, C/D box 115-39",
eg:100033814:chr15:p,100033814,,SNORD115-40,"small nucleolar RNA, C/D box 115-40",
eg:100033815:chr15:p,100033815,,SNORD115-41,"small nucleolar RNA, C/D box 115-41",
eg:100033818:chr15:p,100033818,,SNORD115-44,"small nucleolar RNA, C/D box 115-44",
eg:100033820:chr15:p,100033820,,SNORD116-28,"small nucleolar RNA, C/D box 116-28",
eg:100033821:chr15:p,100033821,,SNORD116-29,"small nucleolar RNA, C/D box 116-29",
eg:100033822:chr15:p,100033822,,SNORD115-48,"small nucleolar RNA, C/D box 115-48",
eg:100036519:chr9:m,100036519,Hs.712520,FOXD4L2,Forkhead box D4-like 2,
eg:100036519:chr9:p,100036519,Hs.712520,FOXD4L2,Forkhead box D4-like 2,
eg:100036563:chr15:p,100036563,,SNORD115-24,"small nucleolar RNA, C/D box 115-24",
eg:100036564:chr15:p,100036564,,SNORD115-27,"small nucleolar RNA, C/D box 115-27",
eg:100036565:chr15:p,100036565,,SNORD115-28,"small nucleolar RNA, C/D box 115-28",
eg:100036566:chr15:p,100036566,,SNORD115-45,"small nucleolar RNA, C/D box 115-45",
eg:100036567:chr15:p,100036567,,SNORD115-47,"small nucleolar RNA, C/D box 115-47",
eg:100037417:chr22:p,100037417,Hs.1581,DDTL,D-dopachrome tautomerase-like,
eg:100038246:chr10:m,100038246,Hs.662323,TLX1NB,TLX1 neighbor,
eg:10004:chr11:m,10004,Hs.13967,NAALADL1,N-acetylated alpha-linked acidic dipeptidase-like 1,
eg:100048912:chr9:p,100048912,Hs.493614,CDKN2B-AS1,CDKN2B antisense RNA 1 (non-protein coding),
eg:100049587:chr19:m,100049587,Hs.740946,SIGLEC14,Sialic acid binding Ig-like lectin 14,
eg:10005:chr20:m,10005,Hs.444776,ACOT8,Acyl-CoA thioesterase 8,
eg:10006:chr10:m,10006,Hs.508148,ABI1,Abl-interactor 1,
eg:10007:chr5:m,10007,Hs.633853,GNPDA1,Glucosamine-6-phosphate deaminase 1,
eg:100073347:chr19:p,100073347,Hs.467337,MIMT1,MER1 repeat containing imprinted transcript 1 (non-protein coding),
eg:10008:chr11:m,10008,Hs.523899,KCNE3,"Potassium voltage-gated channel, Isk-related family, member 3",
eg:10009:chrX:p,10009,Hs.143604,ZBTB33,Zinc finger and BTB domain containing 33,
eg:100093630:chr4:p,100093630,Hs.535762,SNHG8,Small nucleolar RNA host gene 8 (non-protein coding),
eg:1001:chr16:p,1001,Hs.191842,CDH3,"Cadherin 3, type 1, P-cadherin (placental)",
eg:10010:chr2:p,10010,Hs.132257,TANK,TRAF family member-associated NFKB activator,
eg:100101116:chrY:m,100101116,,TTTY1B,"testis-specific transcript, Y-linked 1B (non-protein coding)",
eg:100101116:chrY:p,100101116,,TTTY1B,"testis-specific transcript, Y-linked 1B (non-protein coding)",
eg:100101266:chr19:m,100101266,,HAVCR1P1,hepatitis A virus cellular receptor 1 pseudogene 1,
eg:100101267:chr7:m,100101267,Hs.712563,POM121C,POM121 transmembrane nucleoporin C,
eg:100101467:chr18:m,100101467,Hs.619840,ZSCAN30,Zinc finger and SCAN domain containing 30,
eg:100101490:chr20:p,100101490,,PSIMCT-1,malignant T cell amplified sequence 1 pseudogene,
eg:100101629:chrX:p,100101629,Hs.668804,GAGE8,G antigen 8,
eg:100101938:chr13:m,100101938,Hs.129283,ANKRD26P3,Ankyrin repeat domain 26 pseudogene 3,
eg:10011:chr5:m,10011,Hs.653135,SRA1,Steroid receptor RNA activator 1,
eg:100113378:chr20:m,100113378,,SNORD119,"small nucleolar RNA, C/D box 119",
eg:100113379:chr9:m,100113379,,SNORD121A,"small nucleolar RNA, C/D box 121A",
eg:100113380:chr22:m,100113380,,SNORD125,"small nucleolar RNA, C/D box 125",
eg:100113381:chr3:p,100113381,,SNORD19B,"small nucleolar RNA, C/D box 19B",
eg:100113382:chr19:p,100113382,,SNORD105B,"small nucleolar RNA, C/D box 105B",
eg:100113384:chr5:p,100113384,,SNORD123,"small nucleolar RNA, C/D box 123",
eg:100113385:chr9:p,100113385,,SNORD121B,"small nucleolar RNA, C/D box 121B",
eg:100113386:chr20:p,100113386,Hs.551552,UCKL1-AS1,UCKL1 antisense RNA 1 (non-protein coding),
eg:100113389:chr14:p,100113389,Hs.712501,SNORD127,"Small nucleolar RNA, C/D box 127",
eg:100113390:chr17:p,100113390,Hs.730412,SNORD124,"Small nucleolar RNA, C/D box 124",
eg:100113391:chr14:m,100113391,,SNORD126,"small nucleolar RNA, C/D box 126",
eg:100113392:chr2:p,100113392,Hs.693442,SNORD11B,"Small nucleolar RNA, C/D box 11B",
eg:100113393:chr20:p,100113393,Hs.711216,SNORD12B,"Small nucleolar RNA, C/D box 12B",
eg:100113402:chr16:p,100113402,,SNORD111B,"small nucleolar RNA, C/D box 111B",
eg:100113407:chr6:p,100113407,Hs.146317,TMEM170B,Transmembrane protein 170B,
eg:100124412:chr15:p,100124412,,FAM138E,"family with sequence similarity 138, member E",
eg:100124516:chr18:m,100124516,,SNORD58C,"small nucleolar RNA, C/D box 58C",
eg:100124533:chr6:m,100124533,,SCARNA27,small Cajal body-specific RNA 27,
eg:100124534:chr9:m,100124534,Hs.693449,SNORA84,"Small nucleolar RNA, H/ACA box 84",
eg:100124535:chr2:m,100124535,Hs.693447,SNORA36C,"Small nucleolar RNA, H/ACA box 36C (retrotransposed)",
eg:100124536:chr17:p,100124536,Hs.693446,SNORA38B,"Small nucleolar RNA, H/ACA box 38B (retrotransposed)",
eg:100124537:chr2:m,100124537,Hs.675825,SNORA70B,"Small nucleolar RNA, H/ACA box 70B (retrotransposed)",
eg:100124539:chr14:p,100124539,Hs.693444,SNORA11B,"Small nucleolar RNA, H/ACA box 11B (retrotransposed)",
eg:100124540:chrX:p,100124540,Hs.693443,SNORA11C,"Small nucleolar RNA, H/ACA box 11C (retrotransposed)",
eg:100124541:chrX:m,100124541,Hs.709779,SNORA11D,"Small nucleolar RNA, H/ACA box 11D",
eg:100124541:chrX:p,100124541,Hs.709779,SNORA11D,"Small nucleolar RNA, H/ACA box 11D",
eg:100124542:chrX:m,100124542,Hs.729070,SNORA11E,"Small nucleolar RNA, H/ACA box 11E",
eg:100124542:chrX:p,100124542,Hs.729070,SNORA11E,"Small nucleolar RNA, H/ACA box 11E",
eg:100124692:chr7:p,100124692,Hs.490401,LOC100124692,Maltase-glucoamylase (alpha-glucosidase) pseudogene,
eg:100124700:chr12:m,100124700,Hs.197076,HOTAIR,HOX transcript antisense RNA (non-protein coding),
eg:100125288:chr19:m,100125288,Hs.709296,ZGLP1,"Zinc finger, GATA-like protein 1",
eg:100125556:chr3:p,100125556,Hs.553949,LOC100125556,"Family with sequence similarity 86, member A pseudogene",
eg:100126270:chrX:m,100126270,Hs.561999,FMR1-AS1,FMR1 antisense RNA 1 (non-protein coding),
eg:100126780:chr19:p,100126780,Hs.621635,SNAR-G1,Small ILF3/NF90-associated RNA G1,
eg:100126781:chr19:p,100126781,Hs.707968,SNAR-F,Small ILF3/NF90-associated RNA F,
eg:100126784:chr11:m,100126784,Hs.64341,LOC100126784,Uncharacterized LOC100126784,
eg:100126791:chr3:m,100126791,Hs.663059,EGOT,Eosinophil granule ontogeny transcript (non-protein coding),
eg:100126793:chr3:p,100126793,,GHRLOS,ghrelin opposite strand/antisense RNA (non-protein coding),
eg:100126799:chr19:p,100126799,Hs.723085,SNAR-A2,Small ILF3/NF90-associated RNA A2,
eg:100127888:chr20:m,100127888,Hs.671273,LOC100127888,Uncharacterized LOC100127888,
eg:100127889:chr10:p,100127889,Hs.719076,C10orf131,Chromosome 10 open reading frame 131,
eg:100128023:chr3:m,100128023,,LOC100128023,developmental pluripotency associated 2 pseudogene,
eg:100128076:chr9:p,100128076,Hs.716275,LOC100128076,Protein tyrosine phosphatase pseudogene,
eg:100128124:chr6:m,100128124,Hs.448059,HGC6.3,Uncharacterized LOC100128124,
eg:100128164:chr3:m,100128164,Hs.633070,LOC100128164,Four and a half LIM domains 1 pseudogene,
eg:100128191:chr12:m,100128191,Hs.594042,LOC100128191,Uncharacterized LOC100128191,
eg:100128239:chr11:p,100128239,Hs.423734,LOC100128239,Uncharacterized LOC100128239,
eg:100128285:chr15:m,100128285,Hs.604066,DNM1P35,DNM1 pseudogene 35,
eg:100128288:chr17:m,100128288,Hs.549913,LOC100128288,Uncharacterized LOC100128288,
eg:100128292:chr10:p,100128292,Hs.547908,LOC100128292,Uncharacterized LOC100128292,
eg:100128327:chr6:m,100128327,Hs.134795,BET3L,BET3 like (S. cerevisiae),
eg:100128378:chr3:m,100128378,Hs.640106,C3orf74,Chromosome 3 open reading frame 74,
eg:100128385:chr9:m,100128385,Hs.99052 /// Hs.449459,LINC00256B,Long intergenic non-protein coding RNA 256B,
eg:100128542:chr7:p,100128542,,LOC100128542,blocked early in transport 1 homolog (S. cerevisiae) pseudogene,
eg:100128553:chr7:m,100128553,Hs.720693,CTAGE4,"CTAGE family, member 4",
eg:100128553:chr7:p,100128553,Hs.720693,CTAGE4,"CTAGE family, member 4",
eg:100128554:chr12:p,100128554,Hs.408255,LOC100128554,Uncharacterized LOC100128554,
eg:100128569:chr19:p,100128569,Hs.664978,C19orf71,Chromosome 19 open reading frame 71,
eg:100128573:chr19:m,100128573,,LOC100128573,uncharacterized LOC100128573,
eg:100128640:chr3:m,100128640,Hs.570596,LOC100128640,Uncharacterized LOC100128640,
eg:100128675:chr19:m,100128675,Hs.633989,LOC100128675,Uncharacterized LOC100128675,
eg:100128731:chr2:m,100128731,Hs.502948,OST4,Oligosaccharyltransferase 4 homolog (S. cerevisiae),
eg:100128782:chr9:m,100128782,Hs.494549,LINC00476,Long intergenic non-protein coding RNA 476,
eg:100128788:chr16:m,100128788,Hs.311208,LOC100128788,Uncharacterized LOC100128788,
eg:100128811:chr10:m,100128811,Hs.700407,LOC100128811,Uncharacterized LOC100128811,
eg:100128822:chr7:p,100128822,Hs.647112,LOC100128822,Uncharacterized LOC100128822,
eg:100128927:chr14:p,100128927,Hs.170853,ZBTB42,Zinc finger and BTB domain containing 42,
eg:100128977:chr17:m,100128977,Hs.666302,MAPT-AS1,MAPT antisense RNA 1 (non-protein coding),
eg:100128977:chr17_ctg5_hap1:p,100128977,Hs.666302,MAPT-AS1,MAPT antisense RNA 1 (non-protein coding),
eg:100129034:chr9:p,100129034,Hs.654980,LOC100129034,Uncharacterized LOC100129034,
eg:100129055:chr10:p,100129055,Hs.148265,LOC100129055,Cyclin Y-like pseudogene,
eg:100129066:chr9:p,100129066,Hs.125947,UNQ6494,Uncharacterized LOC100129066,
eg:100129075:chr14:m,100129075,Hs.633724,KTN1-AS1,KTN1 antisense RNA 1 (non-protein coding),
eg:100129128:chr6:m,100129128,Hs.663639,KHDC1L,KH homology domain containing 1-like,
eg:100129239:chrX:m,100129239,Hs.592233,CXorf51A,Chromosome X open reading frame 51A,
eg:100129239:chrX:p,100129239,Hs.592233,CXorf51A,Chromosome X open reading frame 51A,
eg:100129271:chr1:p,100129271,Hs.601077,C1orf68,Chromosome 1 open reading frame 68,
eg:100129354:chr3:p,100129354,,NRADDP,"neurotrophin receptor associated death domain, pseudogene",
eg:100129387:chr15:p,100129387,Hs.659360 /// Hs.720669,LOC100129387,Uncharacterized LOC100129387,
eg:100129396:chr17:p,100129396,Hs.712114,FAM106CP,"Family with sequence similarity 106, member C pseudogene",
eg:100129405:chr1:p,100129405,Hs.720829,MSTO2P,Misato homolog 2 pseudogene,
eg:100129424:chr7:m,100129424,,RPL19P12,ribosomal protein L19 pseudogene 12,
eg:100129482:chr10:m,100129482,Hs.278064,ZNF37BP,"Zinc finger protein 37B, pseudogene",
eg:100129534:chr1:m,100129534,Hs.655313,LOC100129534,Small nuclear ribonucleoprotein polypeptide N pseudogene,
eg:100129550:chr3:p,100129550,Hs.61558,LOC100129550,Uncharacterized LOC100129550,
eg:100129583:chr4:p,100129583,Hs.720509,FAM47E,"Family with sequence similarity 47, member E",
eg:100129637:chr16:m,100129637,,LOC100129637,uncharacterized LOC100129637,
eg:100129716:chr5:p,100129716,Hs.116364,LOC100129716,Uncharacterized LOC100129716,
eg:100129726:chr2:p,100129726,Hs.194480,LOC100129726,Uncharacterized LOC100129726,
eg:100129792:chr5:p,100129792,,CCDC152,coiled-coil domain containing 152,
eg:100129842:chr19:m,100129842,Hs.515696,ZNF737,Zinc finger protein 737,
eg:100129935:chr19:p,100129935,Hs.659307,LOC100129935,"Lectin, galactoside-binding, soluble, 14 pseudogene",
eg:10013:chrX:p,10013,Hs.6764,HDAC6,Histone deacetylase 6,
eg:100130015:chr16:m,100130015,Hs.599784 /// Hs.719553,LOC100130015,5-hydroxyisourate hydrolase pseudogene,
eg:100130017:chr4:p,100130017,Hs.582037,FTLP10,"Ferritin, light polypeptide pseudogene 10",
eg:100130086:chrX:m,100130086,,HSFX2,"heat shock transcription factor family, X linked 2",
eg:100130093:chr1:p,100130093,,LOC100130093,uncharacterized LOC100130093,
eg:100130148:chr17:p,100130148,Hs.669307,MAPT-IT1,MAPT intronic transcript 1 (non-protein coding),
eg:100130148:chr17_ctg5_hap1:m,100130148,Hs.669307,MAPT-IT1,MAPT intronic transcript 1 (non-protein coding),
eg:100130238:chr12:p,100130238,Hs.536338,LOC100130238,Uncharacterized LOC100130238,
eg:100130264:chr20:m,100130264,Hs.683814,LOC100130264,Uncharacterized LOC100130264,
eg:100130274:chr8:m,100130274,Hs.730002,CCDC166,Coiled-coil domain containing 166,
eg:100130302:chrX:p,100130302,Hs.717243,FAM48B1,"Family with sequence similarity 48, member B1",
eg:100130311:chr17:p,100130311,Hs.579243,C17orf107,Chromosome 17 open reading frame 107,
eg:100130331:chr1:p,100130331,,LOC100130331,"POTE ankyrin domain family, member F pseudogene",
eg:100130386:chr13:m,100130386,Hs.704121,LINC00552,Long intergenic non-protein coding RNA 552,
eg:100130417:chr1:m,100130417,Hs.200644,LOC100130417,Uncharacterized LOC100130417,
eg:100130418:chr22:p,100130418,Hs.660640,CECR7,"Cat eye syndrome chromosome region, candidate 7 (non-protein coding)",
eg:100130449:chr2:m,100130449,Hs.655753,PP14571,Uncharacterized LOC100130449,
eg:100130522:chr18:p,100130522,Hs.733360,LOC100130522,Uncharacterized LOC100130522,
eg:100130557:chr1:m,100130557,Hs.233458,LOC100130557,Uncharacterized LOC100130557,
eg:100130581:chr17:m,100130581,Hs.546897 /// Hs.732952,LOC100130581,Uncharacterized LOC100130581,
eg:100130613:chrX:p,100130613,Hs.130370,CXorf64,Chromosome X open reading frame 64,
eg:100130691:chr2:m,100130691,Hs.707723 /// Hs.728371,LOC100130691,Uncharacterized LOC100130691,
eg:100130717:chr22:p,100130717,Hs.660066,CECR5-AS1,CECR5 antisense RNA 1 (non-protein coding),
eg:100130733:chr5:p,100130733,Hs.721348,LRRC70,Leucine rich repeat containing 70,
eg:100130742:chr8:p,100130742,Hs.733070,LRRC69,Leucine rich repeat containing 69,
eg:100130771:chr7:m,100130771,Hs.719432,EFCAB10,EF-hand calcium binding domain 10,
eg:100130776:chr12:p,100130776,Hs.656080,LOC100130776,Uncharacterized LOC100130776,
eg:100130872:chr4:m,100130872,Hs.302963,LOC100130872,Uncharacterized LOC100130872,
eg:100130889:chr6:m,100130889,Hs.670091,PSORS1C3,Psoriasis susceptibility 1 candidate 3 (non-protein coding),
eg:100130889:chr6_cox_hap2:m,100130889,Hs.670091,PSORS1C3,Psoriasis susceptibility 1 candidate 3 (non-protein coding),
eg:100130889:chr6_dbb_hap3:m,100130889,Hs.670091,PSORS1C3,Psoriasis susceptibility 1 candidate 3 (non-protein coding),
eg:100130889:chr6_mann_hap4:m,100130889,Hs.670091,PSORS1C3,Psoriasis susceptibility 1 candidate 3 (non-protein coding),
eg:100130889:chr6_mcf_hap5:m,100130889,Hs.670091,PSORS1C3,Psoriasis susceptibility 1 candidate 3 (non-protein coding),
eg:100130889:chr6_qbl_hap6:m,100130889,Hs.670091,PSORS1C3,Psoriasis susceptibility 1 candidate 3 (non-protein coding),
eg:100130889:chr6_ssto_hap7:m,100130889,Hs.670091,PSORS1C3,Psoriasis susceptibility 1 candidate 3 (non-protein coding),
eg:100130933:chr17:p,100130933,Hs.662541,C17orf110,Chromosome 17 open reading frame 110,
eg:100130958:chr16:p,100130958,Hs.734779,SYCE1L,Synaptonemal complex central element protein 1-like,
eg:100130987:chr11:p,100130987,Hs.664585,LOC100130987,Uncharacterized LOC100130987,
eg:100130988:chr7:p,100130988,Hs.99248,C7orf72,Chromosome 7 open reading frame 72,
eg:100131137:chr19:m,100131137,Hs.651072,BSPH1,Binder of sperm protein homolog 1,
eg:100131187:chr1:m,100131187,Hs.720030,TSTD1,Thiosulfate sulfurtransferase (rhodanese)-like domain containing 1,
eg:100131193:chr9:m,100131193,Hs.734812,LOC100131193,Uncharacterized LOC100131193,
eg:100131211:chr2:m,100131211,Hs.659824,TMEM194B,Transmembrane protein 194B,
eg:100131213:chr10:p,100131213,,ZNF503-AS2,ZNF503 antisense RNA 2 (non-protein coding),
eg:100131390:chr2:p,100131390,Hs.516603,SP9,Sp9 transcription factor homolog (mouse),
eg:100131434:chrX:m,100131434,Hs.669775,LOC100131434,Uncharacterized LOC100131434,
eg:100131439:chr17:m,100131439,Hs.531099,CD300LD,CD300 molecule-like family member d,
eg:100131454:chr17:p,100131454,Hs.662289,DBIL5P,"Diazepam binding inhibitor-like 5, pseudogene",
eg:100131496:chr20:p,100131496,Hs.662547,LOC100131496,Uncharacterized LOC100131496,
eg:100131551:chr3:m,100131551,Hs.128066,LOC100131551,Uncharacterized LOC100131551,
eg:100131561:chr13:p,100131561,,FKSG29,FKSG29,
eg:100131691:chr19:p,100131691,,LOC100131691,uncharacterized LOC100131691,
eg:100131726:chr8:m,100131726,Hs.660862,LOC100131726,HCC-related HCC-C11_v3,
eg:100131814:chr6:p,100131814,Hs.734007,LINC00271,Long intergenic non-protein coding RNA 271,
eg:100131816:chrX:p,100131816,Hs.460809,UBE2DNL,Ubiquitin-conjugating enzyme E2D N-terminal like (pseudogene),
eg:100131827:chr3:m,100131827,Hs.556877,ZNF717,Zinc finger protein 717,
eg:100131897:chr5:m,100131897,Hs.721917,FAM196B,"Family with sequence similarity 196, member B",
eg:100131902:chr21:m,100131902,Hs.580882,KRTAP25-1,Keratin associated protein 25-1,
eg:100131998:chr16:m,100131998,Hs.709576,RRN3P3,RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 3,
eg:100132103:chr8:p,100132103,,FAM66E,"family with sequence similarity 66, member E",
eg:100132111:chr1:p,100132111,,LOC100132111,uncharacterized LOC100132111,
eg:100132215:chr2:m,100132215,Hs.656781,LOC100132215,Uncharacterized LOC100132215,
eg:100132247:chr16:p,100132247,,LOC100132247,nuclear pore complex interacting protein related gene,
eg:100132285:chr19_gl000209_random:p,100132285,Hs.512572,KIR2DS2,"Killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2",
eg:100132287:chr1:p,100132287,,LOC100132287,uncharacterized LOC100132287,
eg:100132287:chr5:p,100132287,,LOC100132287,uncharacterized LOC100132287,
eg:100132288:chr21:m,100132288,Hs.487562 /// Hs.626311,TEKT4P2,Tektin 4 pseudogene 2,
eg:100132288:chr4_gl000194_random:m,100132288,Hs.487562 /// Hs.626311,TEKT4P2,Tektin 4 pseudogene 2,
eg:100132341:chr16:p,100132341,,KIAA0664L3,KIAA0664-like 3,
eg:100132354:chr6:p,100132354,Hs.376232,LOC100132354,Uncharacterized LOC100132354,
eg:100132386:chr17:p,100132386,Hs.307018,KRTAP4-9,Keratin associated protein 4-9,
eg:100132399:chrX:p,100132399,Hs.645554,GAGE12D,G antigen 12D,
eg:100132403:chr9:p,100132403,Hs.741123,FAM157B,"Family with sequence similarity 157, member B",
eg:100132406:chr1:p,100132406,,NBPF10,"neuroblastoma breakpoint family, member 10",
eg:100132417:chr1:p,100132417,,FCGR1C,"Fc fragment of IgG, high affinity Ic, receptor (CD64), pseudogene",
eg:100132464:chr11:m,100132464,,FAM99B,"family with sequence similarity 99, member B (non-protein coding)",
eg:100132476:chr17:p,100132476,Hs.632746,KRTAP4-7,Keratin associated protein 4-7,
eg:100132565:chr15:m,100132565,Hs.510812,GOLGA8F,"Golgin A8 family, member F",
eg:100132565:chr15:p,100132565,Hs.510812,GOLGA8F,"Golgin A8 family, member F",
eg:100132596:chrY:p,100132596,,XGPY2,"Xg pseudogene, Y-linked 2",
eg:100132707:chr7:p,100132707,Hs.586358,LOC100132707,Uncharacterized LOC100132707,
eg:100132708:chr2:p,100132708,Hs.734862,CYP4F30P,"Cytochrome P450, family 4, subfamily F, polypeptide 30, pseudogene",
eg:100132724:chr15:p,100132724,,DCAF13P3,DDB1 and CUL4 associated factor 13 pseudogene 3,
eg:100132831:chrX:m,100132831,,LOC100132831,A20-binding inhibitor of NF-kappaB activation 2 pseudogene,
eg:100132832:chr7:p,100132832,,LOC100132832,PMS2 postmeiotic segregation increased 2 (S. cerevisiae) pseudogene,
eg:100132911:chr20:p,100132911,,DPH3P1,"DPH3, KTI11 homolog (S. cerevisiae) pseudogene 1",
eg:100132923:chr8:p,100132923,Hs.546711,FAM66D,"Family with sequence similarity 66, member D",
eg:100132929:chr10:m,100132929,,FAM25B,"family with sequence similarity 25, member B",
eg:100132929:chr10:p,100132929,,FAM25B,"family with sequence similarity 25, member B",
eg:100132948:chr9:p,100132948,Hs.645763,FAM27C,"Family with sequence similarity 27, member C",
eg:100132979:chr15:m,100132979,Hs.592025,GOLGA8DP,"Golgin A8 family, member D, pseudogene",
eg:100132994:chrX:m,100132994,Hs.719592,CXorf49B,Chromosome X open reading frame 49B,
eg:100132994:chrX:p,100132994,Hs.719592,CXorf49B,Chromosome X open reading frame 49B,
eg:100133036:chr9:m,100133036,Hs.584289,FAM95B1,"Family with sequence similarity 95, member B1",
eg:100133036:chr9:p,100133036,Hs.584289,FAM95B1,"Family with sequence similarity 95, member B1",
eg:100133050:chr5:m,100133050,,LOC100133050,"glucuronidase, beta pseudogene",
eg:100133121:chr9:m,100133121,,FAM27B,"family with sequence similarity 27, member B",
eg:100133144:chr15:p,100133144,,UBE2Q2P3,ubiquitin-conjugating enzyme E2Q family member 2 pseudogene 3,
eg:100133161:chr11:m,100133161,Hs.645398,LOC100133161,Uncharacterized LOC100133161,
