ID	Entrez GeneID	Symbol	Name
ACCN3	9311	ACCN3	Acid-sensing (proton-gated) ion channel 3
ACCN4	55515	ACCN4	Acid-sensing (proton-gated) ion channel family member 4
ACCN5	51802	ACCN5	Acid-sensing (proton-gated) ion channel family member 5
ACCS	84680	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)
ACCSL	390110	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like
ACD	65057	ACD	Adrenocortical dysplasia homolog (mouse)
ACE	1636	ACE	Angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
ACE2	59272	ACE2	Angiotensin I converting enzyme (peptidyl-dipeptidase A) 2
ACER1	125981	ACER1	Alkaline ceramidase 1
ACER2	340485	ACER2	Alkaline ceramidase 2
ACER3	55331	ACER3	Alkaline ceramidase 3
ACHE	43	ACHE	Acetylcholinesterase
ACIN1	22985	ACIN1	Apoptotic chromatin condensation inducer 1
ACLY	47	ACLY	ATP citrate lyase
ACMSD	130013	ACMSD	Aminocarboxymuconate semialdehyde decarboxylase
ACN9	57001	ACN9	ACN9 homolog (S. cerevisiae)
ACO1	48	ACO1	"Aconitase 1, soluble"
ACO2	50	ACO2	"Aconitase 2, mitochondrial"
ACOT1	641371	ACOT1	Acyl-CoA thioesterase 1
ACOT11	26027	ACOT11	Acyl-CoA thioesterase 11
ACOT12	134526	ACOT12	Acyl-CoA thioesterase 12
ACOT13	55856	ACOT13	Acyl-CoA thioesterase 13
ACOT2	10965	ACOT2	Acyl-CoA thioesterase 2
ACOT4	122970	ACOT4	Acyl-CoA thioesterase 4
ACOT6	641372	ACOT6	Acyl-CoA thioesterase 6
ACOT7	11332	ACOT7	Acyl-CoA thioesterase 7
ACOT8	10005	ACOT8	Acyl-CoA thioesterase 8
ACOT9	23597	ACOT9	Acyl-CoA thioesterase 9
ACOX1	51	ACOX1	"Acyl-CoA oxidase 1, palmitoyl"
ACOX2	8309	ACOX2	"Acyl-CoA oxidase 2, branched chain"
ACOX3	8310	ACOX3	"Acyl-CoA oxidase 3, pristanoyl"
ACOXL	55289	ACOXL	Acyl-CoA oxidase-like
ACP1	52	ACP1	"Acid phosphatase 1, soluble"
ACP2	53	ACP2	"Acid phosphatase 2, lysosomal"
ACP5	54	ACP5	"Acid phosphatase 5, tartrate resistant"
ACP6	51205	ACP6	"Acid phosphatase 6, lysophosphatidic"
ACPL2	92370	ACPL2	Acid phosphatase-like 2
ACPP	55	ACPP	"Acid phosphatase, prostate"
ACPT	93650	ACPT	"Acid phosphatase, testicular"
ACR	49	ACR	Acrosin
ACRBP	84519	ACRBP	Acrosin binding protein
ACRC	93953	ACRC	Acidic repeat containing
ACRV1	56	ACRV1	Acrosomal vesicle protein 1
ACSBG1	23205	ACSBG1	Acyl-CoA synthetase bubblegum family member 1
ACSBG2	81616	ACSBG2	Acyl-CoA synthetase bubblegum family member 2
ACSF2	80221	ACSF2	Acyl-CoA synthetase family member 2
ACSF3	197322	ACSF3	Acyl-CoA synthetase family member 3
ACSL1	2180	ACSL1	Acyl-CoA synthetase long-chain family member 1
ACSL3	2181	ACSL3	Acyl-CoA synthetase long-chain family member 3
ACSL4	2182	ACSL4	Acyl-CoA synthetase long-chain family member 4
ACSL5	51703	ACSL5	Acyl-CoA synthetase long-chain family member 5
ACSL6	23305	ACSL6	Acyl-CoA synthetase long-chain family member 6
ACSM1	116285	ACSM1	Acyl-CoA synthetase medium-chain family member 1
ACSM2A	123876	ACSM2A	Acyl-CoA synthetase medium-chain family member 2A
ACSM2B	348158	ACSM2B	Acyl-CoA synthetase medium-chain family member 2B
ACSM3	6296	ACSM3	Acyl-CoA synthetase medium-chain family member 3
ACSM4	341392	ACSM4	Acyl-CoA synthetase medium-chain family member 4
ACSM5	54988	ACSM5	Acyl-CoA synthetase medium-chain family member 5
ACSS1	84532	ACSS1	Acyl-CoA synthetase short-chain family member 1
ACSS2	55902	ACSS2	Acyl-CoA synthetase short-chain family member 2
ACSS3	79611	ACSS3	Acyl-CoA synthetase short-chain family member 3
ACTA1	58	ACTA1	"Actin, alpha 1, skeletal muscle"
ACTA2	59	ACTA2	"Actin, alpha 2, smooth muscle, aorta"
ACTB	60	ACTB	"Actin, beta"
ACTBL2	345651	ACTBL2	"Actin, beta-like 2"
ACTC1	70	ACTC1	"Actin, alpha, cardiac muscle 1"
ACTG1	71	ACTG1	"Actin, gamma 1"
ACTG2	72	ACTG2	"Actin, gamma 2, smooth muscle, enteric"
ACTL10	170487	ACTL10	Actin-like 10
ACTL6A	86	ACTL6A	Actin-like 6A
ACTL6B	51412	ACTL6B	Actin-like 6B
ACTL7A	10881	ACTL7A	Actin-like 7A
ACTL7B	10880	ACTL7B	Actin-like 7B
ACTL8	81569	ACTL8	Actin-like 8
ACTL9	284382	ACTL9	Actin-like 9
ACTN1	87	ACTN1	"Actinin, alpha 1"
ACTN2	88	ACTN2	"Actinin, alpha 2"
ACTN3	89	ACTN3	"Actinin, alpha 3"
ACTN4	81	ACTN4	"Actinin, alpha 4"
ACTR10	55860	ACTR10	Actin-related protein 10 homolog (S. cerevisiae)
ACTR1A	10121	ACTR1A	"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)"
ACTR1B	10120	ACTR1B	"ARP1 actin-related protein 1 homolog B, centractin beta (yeast)"
ACTR2	10097	ACTR2	ARP2 actin-related protein 2 homolog (yeast)
ACTR3	10096	ACTR3	ARP3 actin-related protein 3 homolog (yeast)
ACTR3B	57180	ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)
ACTR3BP2	440888	ACTR3BP2	ARP3 actin-related protein 3 homolog B (yeast) pseudogene 2
ACTR3BP5	399746	ACTR3BP5	ARP3 actin-related protein 3 homolog B (yeast) pseudogene 5
ACTR3C	653857	ACTR3C	ARP3 actin-related protein 3 homolog C (yeast)
ACTR5	79913	ACTR5	ARP5 actin-related protein 5 homolog (yeast)
ACTR6	64431	ACTR6	ARP6 actin-related protein 6 homolog (yeast)
ACTR8	93973	ACTR8	ARP8 actin-related protein 8 homolog (yeast)
ACTRT1	139741	ACTRT1	Actin-related protein T1
ACTRT2	140625	ACTRT2	Actin-related protein T2
ACVR1	90	ACVR1	"Activin A receptor, type I"
ACVR1B	91	ACVR1B	"Activin A receptor, type IB"
ACVR1C	130399	ACVR1C	"Activin A receptor, type IC"
ACVR2A	92	ACVR2A	"Activin A receptor, type IIA"
ACVR2B	93	ACVR2B	"Activin A receptor, type IIB"
ACVRL1	94	ACVRL1	Activin A receptor type II-like 1
ACY1	95	ACY1	Aminoacylase 1
ACY3	91703	ACY3	Aspartoacylase (aminocyclase) 3
ACYP1	97	ACYP1	"Acylphosphatase 1, erythrocyte (common) type"
ACYP2	98	ACYP2	"Acylphosphatase 2, muscle type"
ADA	100	ADA	Adenosine deaminase
ADAD1	132612	ADAD1	Adenosine deaminase domain containing 1 (testis-specific)
ADAD2	161931	ADAD2	Adenosine deaminase domain containing 2
ADAL	161823	ADAL	Adenosine deaminase-like
ADAM1	8759	ADAM1	"ADAM metallopeptidase domain 1A, pseudogene"
ADAM10	102	ADAM10	ADAM metallopeptidase domain 10
ADAM11	4185	ADAM11	ADAM metallopeptidase domain 11
ADAM12	8038	ADAM12	ADAM metallopeptidase domain 12
ADAM15	8751	ADAM15	ADAM metallopeptidase domain 15
ADAM17	6868	ADAM17	ADAM metallopeptidase domain 17
ADAM18	8749	ADAM18	ADAM metallopeptidase domain 18
ADAM19	8728	ADAM19	ADAM metallopeptidase domain 19
ADAM2	2515	ADAM2	ADAM metallopeptidase domain 2
ADAM20	8748	ADAM20	ADAM metallopeptidase domain 20
ADAM21	8747	ADAM21	ADAM metallopeptidase domain 21
ADAM21P1	145241	ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1
ADAM22	53616	ADAM22	ADAM metallopeptidase domain 22
ADAM23	8745	ADAM23	ADAM metallopeptidase domain 23
ADAM28	10863	ADAM28	ADAM metallopeptidase domain 28
ADAM29	11086	ADAM29	ADAM metallopeptidase domain 29
ADAM30	11085	ADAM30	ADAM metallopeptidase domain 30
ADAM32	203102	ADAM32	ADAM metallopeptidase domain 32
ADAM33	80332	ADAM33	ADAM metallopeptidase domain 33
ADAM3A	1587	ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)
ADAM5P	255926	ADAM5P	"ADAM metallopeptidase domain 5, pseudogene"
ADAM6	8755	ADAM6	"ADAM metallopeptidase domain 6, pseudogene"
ADAM7	8756	ADAM7	ADAM metallopeptidase domain 7
ADAM8	101	ADAM8	ADAM metallopeptidase domain 8
ADAM9	8754	ADAM9	ADAM metallopeptidase domain 9
ADAMDEC1	27299	ADAMDEC1	"ADAM-like, decysin 1"
ADAMTS1	9510	ADAMTS1	"ADAM metallopeptidase with thrombospondin type 1 motif, 1"
ADAMTS10	81794	ADAMTS10	"ADAM metallopeptidase with thrombospondin type 1 motif, 10"
ADAMTS12	81792	ADAMTS12	"ADAM metallopeptidase with thrombospondin type 1 motif, 12"
ADAMTS13	11093	ADAMTS13	"ADAM metallopeptidase with thrombospondin type 1 motif, 13"
ADAMTS14	140766	ADAMTS14	"ADAM metallopeptidase with thrombospondin type 1 motif, 14"
ADAMTS15	170689	ADAMTS15	"ADAM metallopeptidase with thrombospondin type 1 motif, 15"
ADAMTS16	170690	ADAMTS16	"ADAM metallopeptidase with thrombospondin type 1 motif, 16"
ADAMTS17	170691	ADAMTS17	"ADAM metallopeptidase with thrombospondin type 1 motif, 17"
ADAMTS18	170692	ADAMTS18	"ADAM metallopeptidase with thrombospondin type 1 motif, 18"
ADAMTS19	171019	ADAMTS19	"ADAM metallopeptidase with thrombospondin type 1 motif, 19"
ADAMTS2	9509	ADAMTS2	"ADAM metallopeptidase with thrombospondin type 1 motif, 2"
ADAMTS20	80070	ADAMTS20	"ADAM metallopeptidase with thrombospondin type 1 motif, 20"
ADAMTS3	9508	ADAMTS3	"ADAM metallopeptidase with thrombospondin type 1 motif, 3"
ADAMTS4	9507	ADAMTS4	"ADAM metallopeptidase with thrombospondin type 1 motif, 4"
ADAMTS5	11096	ADAMTS5	"ADAM metallopeptidase with thrombospondin type 1 motif, 5"
ADAMTS6	11174	ADAMTS6	"ADAM metallopeptidase with thrombospondin type 1 motif, 6"
ADAMTS7	11173	ADAMTS7	"ADAM metallopeptidase with thrombospondin type 1 motif, 7"
ADAMTS8	11095	ADAMTS8	"ADAM metallopeptidase with thrombospondin type 1 motif, 8"
ADAMTS9	56999	ADAMTS9	"ADAM metallopeptidase with thrombospondin type 1 motif, 9"
ADAMTS9-AS2	100507098	ADAMTS9-AS2	ADAMTS9 antisense RNA 2
ADAMTSL1	92949	ADAMTSL1	ADAMTS-like 1
ADAMTSL2	9719	ADAMTSL2	ADAMTS-like 2
ADAMTSL3	57188	ADAMTSL3	ADAMTS-like 3
ADAMTSL4	54507	ADAMTSL4	ADAMTS-like 4
ADAMTSL5	339366	ADAMTSL5	ADAMTS-like 5
ADAP1	11033	ADAP1	ArfGAP with dual PH domains 1
ADAP2	55803	ADAP2	ArfGAP with dual PH domains 2
ADAR	103	ADAR	"Adenosine deaminase, RNA-specific"
ADARB1	104	ADARB1	"Adenosine deaminase, RNA-specific, B1"
ADARB2	105	ADARB2	"Adenosine deaminase, RNA-specific, B2"
ADARB2-AS1	642394	ADARB2-AS1	ADARB2 antisense RNA 1
ADAT1	23536	ADAT1	"Adenosine deaminase, tRNA-specific 1"
ADAT2	134637	ADAT2	"Adenosine deaminase, tRNA-specific 2"
ADAT3	113179	ADAT3	"adenosine deaminase, tRNA-specific 3"
ADC	113451	ADC	Arginine decarboxylase
ADCK1	57143	ADCK1	AarF domain containing kinase 1
ADCK2	90956	ADCK2	AarF domain containing kinase 2
ADCK3	56997	ADCK3	AarF domain containing kinase 3
ADCK4	79934	ADCK4	AarF domain containing kinase 4
ADCK5	203054	ADCK5	AarF domain containing kinase 5
ADCY1	107	ADCY1	Adenylate cyclase 1 (brain)
ADCY10	55811	ADCY10	Adenylate cyclase 10 (soluble)
ADCY2	108	ADCY2	Adenylate cyclase 2 (brain)
ADCY3	109	ADCY3	Adenylate cyclase 3
ADCY4	196883	ADCY4	Adenylate cyclase 4
ADCY5	111	ADCY5	Adenylate cyclase 5
ADCY6	112	ADCY6	Adenylate cyclase 6
ADCY7	113	ADCY7	Adenylate cyclase 7
ADCY8	114	ADCY8	Adenylate cyclase 8 (brain)
ADCY9	115	ADCY9	Adenylate cyclase 9
ADCYAP1	116	ADCYAP1	Adenylate cyclase activating polypeptide 1 (pituitary)
ADCYAP1R1	117	ADCYAP1R1	Adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
ADD1	118	ADD1	Adducin 1 (alpha)
ADD2	119	ADD2	Adducin 2 (beta)
ADD3	120	ADD3	Adducin 3 (gamma)
ADGB	79747	ADGB	Androglobin
ADH1A	124	ADH1A	"Alcohol dehydrogenase 1A (class I), alpha polypeptide"
ADH1B	125	ADH1B	"Alcohol dehydrogenase 1B (class I), beta polypeptide"
ADH1C	126	ADH1C	"Alcohol dehydrogenase 1C (class I), gamma polypeptide"
ADH4	127	ADH4	"Alcohol dehydrogenase 4 (class II), pi polypeptide"
ADH5	128	ADH5	"Alcohol dehydrogenase 5 (class III), chi polypeptide"
ADH6	130	ADH6	Alcohol dehydrogenase 6 (class V)
ADH7	131	ADH7	"Alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
ADHFE1	137872	ADHFE1	"Alcohol dehydrogenase, iron containing, 1"
ADI1	55256	ADI1	Acireductone dioxygenase 1
ADIG	149685	ADIG	Adipogenin
ADIPOQ	9370	ADIPOQ	"Adiponectin, C1Q and collagen domain containing"
ADIPOR1	51094	ADIPOR1	Adiponectin receptor 1
ADIPOR2	79602	ADIPOR2	Adiponectin receptor 2
ADK	132	ADK	Adenosine kinase
ADM	133	ADM	Adrenomedullin
ADM2	79924	ADM2	Adrenomedullin 2
ADNP	23394	ADNP	Activity-dependent neuroprotector homeobox
ADNP2	22850	ADNP2	ADNP homeobox 2
ADO	84890	ADO	2-aminoethanethiol (cysteamine) dioxygenase
ADORA1	134	ADORA1	Adenosine A1 receptor
ADORA2A	135	ADORA2A	Adenosine A2a receptor
ADORA2B	136	ADORA2B	Adenosine A2b receptor
ADORA3	140	ADORA3	Adenosine A3 receptor
ADPGK	83440	ADPGK	ADP-dependent glucokinase
ADPRH	141	ADPRH	ADP-ribosylarginine hydrolase
ADPRHL1	113622	ADPRHL1	ADP-ribosylhydrolase like 1
ADPRHL2	54936	ADPRHL2	ADP-ribosylhydrolase like 2
ADRA1A	148	ADRA1A	Adrenoceptor alpha 1A
ADRA1B	147	ADRA1B	Adrenoceptor alpha 1B
ADRA1D	146	ADRA1D	Adrenoceptor alpha 1D
ADRA2A	150	ADRA2A	Adrenoceptor alpha 2A
ADRA2B	151	ADRA2B	Adrenoceptor alpha 2B
ADRA2C	152	ADRA2C	Adrenoceptor alpha 2C
ADRB1	153	ADRB1	Adrenoceptor beta 1
ADRB2	154	ADRB2	"Adrenoceptor beta 2, surface"
ADRB3	155	ADRB3	Adrenoceptor beta 3
ADRBK1	156	ADRBK1	"Adrenergic, beta, receptor kinase 1"
ADRBK2	157	ADRBK2	"Adrenergic, beta, receptor kinase 2"
ADRM1	11047	ADRM1	Adhesion regulating molecule 1
ADSL	158	ADSL	Adenylosuccinate lyase
ADSS	159	ADSS	Adenylosuccinate synthase
ADSSL1	122622	ADSSL1	Adenylosuccinate synthase like 1
ADTRP	84830	ADTRP	Androgen-dependent TFPI-regulating protein
AEBP1	165	AEBP1	AE binding protein 1
AEBP2	121536	AEBP2	AE binding protein 2
AEN	64782	AEN	Apoptosis enhancing nuclease
AES	166	AES	Amino-terminal enhancer of split
AFAP1	60312	AFAP1	Actin filament associated protein 1
AFAP1-AS1	84740	AFAP1-AS1	AFAP1 antisense RNA 1
AFAP1L1	134265	AFAP1L1	Actin filament associated protein 1-like 1
AFAP1L2	84632	AFAP1L2	Actin filament associated protein 1-like 2
AFF1	4299	AFF1	"AF4/FMR2 family, member 1"
AFF2	2334	AFF2	"AF4/FMR2 family, member 2"
AFF3	3899	AFF3	"AF4/FMR2 family, member 3"
AFF4	27125	AFF4	"AF4/FMR2 family, member 4"
AFG3L1P	172	AFG3L1P	"AFG3 ATPase family member 3-like 1 (S. cerevisiae), pseudogene"
AFG3L2	10939	AFG3L2	AFG3 ATPase family member 3-like 2 (S. cerevisiae)
AFM	173	AFM	Afamin
AFMID	125061	AFMID	Arylformamidase
AFP	174	AFP	Alpha-fetoprotein
AFTPH	54812	AFTPH	Aftiphilin
AGA	175	AGA	Aspartylglucosaminidase
AGAP1	116987	AGAP1	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
AGAP11	119385	AGAP11	Ankyrin repeat and GTPase domain Arf GTPase activating protein 11
AGAP2	116986	AGAP2	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
AGAP3	116988	AGAP3	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"
